ZIP,ALand
35579,447906545
35550,114531672
35020,2076635
35584,94852443
36548,603093386
36726,445513253
36768,973585771
36048,517008078
35553,471342813
35565,184358361
35209,3372196
35094,12786477
35220,7511055
35071,40159982
35073,56885352
35210,26558605
35243,12429198
35228,4006150
35022,34033783
35226,18071006
35034,691793540
35630,8653066
35634,123190580
35673,117628141
36830,2907181
36025,8020338
36801,4310558
36804,165626066
35611,10362596
36040,408826352
36083,7583956
35810,1995502
35133,203716769
35816,2365766
35801,2259086
35802,5765482
35811,108073369
35806,12924198
35758,10927370
36736,286336268
35594,154499292
35976,43587610
36603,1589550
36033,352261684
36603,1043100
36605,5320481
36607,3193386
36608,5552352
36608,1900631
36693,7475705
36611,981169
36575,25915097
36695,8957994
36619,17212873
36207,12116269
36610,1748287
36480,427194441
36108,3561874
36111,3213699
36108,10571245
36117,3690069
36109,9905497
36069,322817898
35601,5750081
35603,4144053
36265,41129558
35621,247422337
35442,936899340
36280,259326168
36869,20360276
99554,76485032
99744,113285111
99723,48786920
99727,3640031
99563,2562639
99557,8976837
99573,32391024
99576,86946428
99702,76750273
99583,69890025
99603,324760949
99709,222739445
99743,1779228859
99745,7799108
99747,1869960
99749,482353
99615,9003031
99621,26047286
99901,1434002
99630,16491474
99827,31359224
99720,6350272
99761,41968766
99666,31421019
99833,114295601
99501,395024280
99950,9645413
99591,90002615
99770,7582133
99840,24478109
99774,30141336
99777,28595093
99588,117291576
99684,9411703
99737,18298887
99901,12523988591
99579,60735993529
99687,55682951
99654,18404160
99749,91632669709
99780,46851045720
99675,81773510673
99508,2494426
99567,168793575
99577,14753110
99501,2371512
99504,1979230
99504,2936374
99508,2338007
99501,1749931
99517,2720664
99508,3335293
99508,4978010
99508,2163759
99504,2525341
99507,1748053
99503,4483867
99517,1612672
99502,50814201
99502,4184086
99518,4577740
99507,2731183
99515,7416313
99507,1978662
99517,1612672
99516,3601953
99587,1404917227
99559,567034388
99576,409651993
99701,3313124
99709,4661153
99701,37463502
99709,81642676
99705,127539635
99701,10793443952
99507,2731183
99829,16962765542
99801,7489229
99801,4928827968
99631,4422858736
99611,74051354
99556,1502551013
99603,521288307
99901,13478407
99624,16864705570
99658,44240303738
99516,85707800
99645,392213426
99687,55682951
99645,137183317
99654,12673363
99645,409022670
99762,1908739435
99749,91632669709
99833,7556529587
99926,343946421
99835,17109651
99701,4544912
99573,63955230470
99677,11061417352
99746,87632823349
99577,9185110
99701,63667440
99829,16962765542
99672,5013807116
85634,1996741
85131,15901047
86432,21799318
85605,4393141
86045,48495778
85739,36546383
86503,61541732
86401,8604897
85501,19032541
85501,2138576
85364,314190
85501,8926975
86042,40759648
86001,19798069
85295,176124143
86441,44522908
85292,3277192
86025,26925538
86033,34116189
86039,43824456
86432,30994033
85634,10970122
86441,80386657
86440,1937625
85282,53915279
85541,1271640
85547,50110915
85543,17169776
85608,4825985
85350,290861
85553,6966992
85614,81484003
85631,53673060
86043,103921612
85635,394277330
85925,29847566
85374,28151296
85347,4979033
86047,1107069
85273,15700609
86040,43569855
86326,18030574
85356,1656151
85321,23195005
86440,12784253
85362,22855950
85298,23960865
85242,7772321
85268,99968321
85540,319216540
86441,610160199
86442,5993003
86439,9934226
86406,6220572
86510,1013396605
86054,1687283615
85929,15826303
85901,527773003
85701,1113456
85716,2429820
85334,1583765313
85713,2781210
85716,1126151
85716,2250340
85711,1317492
85706,2418537
85715,2292434
85748,2584014
85710,3745088
85641,1057208
85641,778835299
85373,3907853
85622,135232009
85614,3743826
85629,8579759
85745,2769008
85743,4848790
85705,1844452
85704,3464391
85936,5159164618
85704,2416112
85755,22256526
85718,9371008
85387,2180184
85750,6827714
85701,288736407
85132,5434188
85220,2515241
85623,93778024
85222,25889147
85222,20853917
85204,5303999
85241,834066473
85621,576543866
85322,661453568
86305,44019887
86312,17186621
86321,1358885864
86351,32415088
85364,1604891
85364,2315470
85366,2193247
85364,20842462
85349,2898375
85333,1854978380
85335,3955451
86504,792172786
86503,502006328
86505,1493024595
86504,109583676
85925,1378293059
85605,3425801451
85602,18668674
85627,1670157893
85712,33689602
85607,1901876
85340,3850676
85615,329303180
85670,136670104
85635,3265430
85635,63721335
85650,18660062
85615,561289327
86004,2739349
86004,54478994
86040,40115836
86001,6266288
85338,14503084
86047,6918879825
86040,249869455
86001,4751167817
86053,2383458616
86045,3952392592
85544,460049958
85541,680561797
85539,641266641
85501,23708891
85550,2612741636
85379,2592282
85552,21266178
85546,5068385
85009,930847320
85552,1145307912
85334,1650800782
85344,993669983
85327,26522834
85378,6349981
85374,3767797
85342,455877214
85379,36407150
85387,5574808
85388,3574011
85374,7763729
85374,2666330
85322,661453568
85326,12998136
85326,58772825
85378,3677181
85335,1300252
85018,15255642
85382,3332748
85340,4578974
85340,7737659
85338,7669232
85308,2602089
85374,2673903
85379,2560346
85374,2560329
85379,10285062
85335,2133079
85031,2569554
85381,2435718
85323,3938541
85363,4013779
85382,4182254
85306,2349958
85382,2967570
85335,2591702
60048,4852622
85345,2609055
60048,2280448
85345,2157868
85345,2569200
85037,2616802
85037,1297867
85323,1860792
85286,3873524
85353,9542937
85323,954054
85302,2487695
85627,1670157893
85302,2572026
85302,1832032
85301,2631638
85037,1297867
85345,2573535
85303,1286319
85307,2592216
85345,2448698
85301,2630303
85301,1275658
85301,1259601
85032,2446322
85032,2335894
85254,2606852
85323,3195695
85032,2589035
85032,2499628
85032,810662
85032,4457245
85023,6133625
85204,2462943
85023,1976908
85020,4717371
85029,2563951
85029,2582502
85305,18953599
85051,1625210
85306,2445665
85306,2576841
85304,2569325
85304,2548116
85029,1486942
85020,1227304
85020,1443266
85028,3335039
85253,12867586
85302,647196
85018,9830948
85020,2568631
85051,1290267
85051,2585268
85021,2554734
85016,2494795
85015,633665
85015,1879036
85019,1242404
85015,2575241
85303,2565814
85012,2609413
85016,2618706
85018,1557172
85016,2597616
85014,1770566
85013,1504391
85015,957431
85031,2561519
85033,2479942
85033,1331560
85345,2589405
85033,1293222
85033,1302037
85009,2573752
85012,1310115
85016,1296654
85018,2624349
85008,1912022
85008,1325311
85006,1301777
85002,2654770
85301,1259601
85009,1136736
85035,1304314
85035,2596628
